"district","stored","recalculated","discrepancy","closureDeltaStored","closureDeltaCorrected"
"Trujillo","0.32","0.22","0.1","0.08","0.18"
"El Porvenir","0.88","0.75","0.13","-0.02","0.11"
"La Esperanza","0.74","0.61","0.13","0.02","0.15"
"Florencia de Mora","0.92","0.82","0.10000000000000009","-0.03","0.07"
"Víctor Larco Herrera","0.16","0.12","0.04000000000000001","0.12","0.16"
"Huanchaco","0.69","0.59","0.09999999999999998","0.06","0.16"
"Moche","0.49","0.41","0.08000000000000002","0.11","0.19"
"Laredo","0.56","0.47","0.09000000000000008","0.11","0.2"
"Salaverry","0.44","0.37","0.07","0.11","0.18"
"Poroto","0.72","0.63","0.08999999999999997","0.06","0.15"
