"district","code","intervention","before","after","delta","neighbors","consistent","expectedDirection"
"Trujillo","130101","new_facility","0.13","0.07","-0.06","7","true","true"
"Trujillo","130101","expand_capacity","0.13","0.07","-0.06","7","true","true"
"Trujillo","130101","improve_access","0.13","0.08","-0.05","7","true","true"
"Trujillo","130101","temporary_closure","0.13","0.3","0.16999999999999998","7","true","true"
"El Porvenir","130102","new_facility","0.22","0.12","-0.1","4","true","true"
"El Porvenir","130102","expand_capacity","0.22","0.16","-0.06","4","true","true"
"El Porvenir","130102","improve_access","0.22","0.17","-0.04999999999999999","4","true","true"
"El Porvenir","130102","temporary_closure","0.22","0.39","0.17","4","true","true"
"La Esperanza","130105","new_facility","0.19","0.1","-0.09","3","true","true"
"La Esperanza","130105","expand_capacity","0.19","0.13","-0.06","3","true","true"
"La Esperanza","130105","improve_access","0.19","0.15","-0.04000000000000001","3","true","true"
"La Esperanza","130105","temporary_closure","0.19","0.38","0.19","3","true","true"
"Florencia de Mora","130103","new_facility","0.15","0.1","-0.04999999999999999","3","true","true"
"Florencia de Mora","130103","expand_capacity","0.15","0.12","-0.03","3","true","true"
"Florencia de Mora","130103","improve_access","0.15","0.12","-0.03","3","true","true"
"Florencia de Mora","130103","temporary_closure","0.15","0.32","0.17","3","true","true"
"Víctor Larco Herrera","130111","new_facility","0.11","0.05","-0.06","3","true","true"
"Víctor Larco Herrera","130111","expand_capacity","0.11","0.07","-0.039999999999999994","3","true","true"
"Víctor Larco Herrera","130111","improve_access","0.11","0.08","-0.03","3","true","true"
"Víctor Larco Herrera","130111","temporary_closure","0.11","0.28","0.17000000000000004","3","true","true"
"Huanchaco","130104","new_facility","0.23","0.11","-0.12000000000000001","5","true","true"
"Huanchaco","130104","expand_capacity","0.23","0.15","-0.08000000000000002","5","true","true"
"Huanchaco","130104","improve_access","0.23","0.18","-0.05000000000000002","5","true","true"
"Huanchaco","130104","temporary_closure","0.23","0.41","0.17999999999999997","5","true","true"
"Moche","130107","new_facility","0.18","0.09","-0.09","4","true","true"
"Moche","130107","expand_capacity","0.18","0.13","-0.04999999999999999","4","true","true"
"Moche","130107","improve_access","0.18","0.14","-0.03999999999999998","4","true","true"
"Moche","130107","temporary_closure","0.18","0.36","0.18","4","true","true"
"Laredo","130106","new_facility","0.29","0.2","-0.08999999999999997","6","true","true"
"Laredo","130106","expand_capacity","0.29","0.24","-0.04999999999999999","6","true","true"
"Laredo","130106","improve_access","0.29","0.25","-0.03999999999999998","6","true","true"
"Laredo","130106","temporary_closure","0.29","0.46","0.17000000000000004","6","true","true"
"Salaverry","130109","new_facility","0.32","0.21","-0.11000000000000001","2","true","true"
"Salaverry","130109","expand_capacity","0.32","0.25","-0.07","2","true","true"
"Salaverry","130109","improve_access","0.32","0.28","-0.03999999999999998","2","true","true"
"Salaverry","130109","temporary_closure","0.32","0.49","0.16999999999999998","2","true","true"
"Poroto","130108","new_facility","0.31","0.17","-0.13999999999999999","1","true","true"
"Poroto","130108","expand_capacity","0.31","0.23","-0.07999999999999999","1","true","true"
"Poroto","130108","improve_access","0.31","0.26","-0.04999999999999999","1","true","true"
"Poroto","130108","temporary_closure","0.31","0.51","0.2","1","true","true"
