"district","factsMatched","sourceIds","text"
"Trujillo","true","sis,poverty","Trujillo registró 25,006 consultas externas SIS en 2025-12. Su prioridad derivada es 13.0 %. La población publicada para 2025 es 359,982 habitantes."
"El Porvenir","true","sis,poverty","El Porvenir registró 4,931 consultas externas SIS en 2025-12. Su prioridad derivada es 22.0 %. La población publicada para 2025 es 134,258 habitantes."
"La Esperanza","true","sis,poverty","La Esperanza registró 6,646 consultas externas SIS en 2025-12. Su prioridad derivada es 19.0 %. La población publicada para 2025 es 249,310 habitantes."
"Florencia de Mora","true","sis,poverty","Florencia de Mora registró 2,270 consultas externas SIS en 2025-12. Su prioridad derivada es 15.0 %. La población publicada para 2025 es 65,310 habitantes."
"Víctor Larco Herrera","true","sis,poverty","Víctor Larco Herrera registró 3,243 consultas externas SIS en 2025-12. Su prioridad derivada es 11.0 %. La población publicada para 2025 es 85,912 habitantes."
"Huanchaco","true","sis,poverty","Huanchaco registró 2,707 consultas externas SIS en 2025-12. Su prioridad derivada es 23.0 %. La población publicada para 2025 es 103,075 habitantes."
"Moche","true","sis,poverty","Moche registró 3,454 consultas externas SIS en 2025-12. Su prioridad derivada es 18.0 %. La población publicada para 2025 es 47,246 habitantes."
"Laredo","true","sis,poverty","Laredo registró 1,703 consultas externas SIS en 2025-12. Su prioridad derivada es 29.0 %. La población publicada para 2025 es 56,718 habitantes."
"Salaverry","true","sis,poverty","Salaverry registró 1,003 consultas externas SIS en 2025-12. Su prioridad derivada es 32.0 %. La población publicada para 2025 es 25,844 habitantes."
"Poroto","true","sis,poverty","Poroto registró 546 consultas externas SIS en 2025-12. Su prioridad derivada es 31.0 %. La población publicada para 2025 es 4,032 habitantes."
